date,ticker,sector,p_hormuz,p_redsea,p_sanctions,p_oil100,signal_strength,gross_return,net_return,success
2020-01-02,TNK,shipping,0.12,0.18,0.22,0.25,0.023524449200054223,0.10932505406560011,0.09732505406560012,1
2020-01-03,TNK,shipping,0.11323445468123922,0.19944909749678605,0.21427108606260967,0.30105848235954125,0.03142594808279346,0.08053365868343598,0.06853365868343599,1
2020-01-06,TNK,shipping,0.10893218574173988,0.21866965719744463,0.2096502688573797,0.3353926305789566,0.03307117137177833,0.14293457276484944,0.13093457276484943,1
2020-01-07,TNK,shipping,0.11531305715096438,0.23826702467467803,0.2009413522978989,0.3729318199186742,0.05391788488937228,0.11929973456530796,0.10729973456530796,1
2020-01-08,TNK,shipping,0.12155047665153068,0.2364107230145429,0.1996860192365479,0.4018611665962172,0.02321591043849384,0.10763589463154077,0.09563589463154078,1
2020-01-09,TNK,shipping,0.12048509570255962,0.2681095720585442,0.21309898717142142,0.4632828720031669,0.016866785342927623,0.10345675871545823,0.09145675871545823,1
2020-01-10,TNK,shipping,0.12726873458685395,0.27483616732768396,0.23869305748326525,0.5113121983472073,0.03512968837512248,0.06521711251599416,0.05321711251599416,1
2020-01-13,TNK,shipping,0.1310300104097516,0.28845838849911487,0.2517512217115264,0.5690114354999256,0.02028640698131279,0.06282922803552626,0.05082922803552627,1
2020-01-14,TNK,shipping,0.12571970171316887,0.28306666552491544,0.26382039523265555,0.6191195720801204,0.031232508142083944,0.05139159436046592,0.03939159436046592,1
2020-01-15,TNK,shipping,0.11992385835200078,0.30346181811258544,0.26619110907076554,0.6633883981530075,0.04521129254124824,0.06472910545097199,0.052729105450971994,1
2020-01-16,TNK,shipping,0.11163887622564979,0.3025613051083438,0.25561632129126877,0.6957793541452877,0.027991408718035442,0.05363869360794693,0.04163869360794693,1
2020-01-17,TNK,shipping,0.10681939661646443,0.30826525204511335,0.25237446824472337,0.7493687140762519,0.034297494346181664,0.08501366802022048,0.07301366802022048,1
2020-01-20,TNK,shipping,0.09518481500766922,0.3075257540546135,0.22970767902004388,0.748649320434155,0.032972952595711535,0.06371349286639827,0.05171349286639827,1
2020-01-21,TNK,shipping,0.09162428547677626,0.31221029021420976,0.21751873689246268,0.7457536384009131,0.04478551484301353,0.056201413632093855,0.04420141363209386,1
2020-01-22,TNK,shipping,0.0992057000705254,0.31445651136300606,0.20228026940663127,0.7472730245916575,0.05740220466602415,0.12874365848586744,0.11674365848586744,1
2020-01-23,TNK,shipping,0.11090666487202819,0.3308911662937286,0.2193473199958681,0.7598674900273913,0.03761769449326269,0.15317773138493473,0.14117773138493472,1
2020-01-24,TNK,shipping,0.09661761896982281,0.33699596263223874,0.381273565829274,0.8138043062863853,0.04487693055384594,0.10921968926720571,0.09721968926720571,1
2020-01-27,TNK,shipping,0.08951681794554679,0.3349822878260259,0.3789107770689204,0.8252526214782716,0.03317914751916548,0.07660479143099952,0.06460479143099952,1
2020-01-28,TNK,shipping,0.10746472178890881,0.3342464159817942,0.34866017124099613,0.8330959016495143,0.038074344802004056,0.07460116992733701,0.06260116992733701,1
2020-01-29,TNK,shipping,0.09725650274805503,0.32565763686722066,0.3487775541413035,0.8586039315891618,0.04016714306267674,0.1018873779126217,0.0898873779126217,1
2020-01-30,TNK,shipping,0.10451406715435622,0.3157040072570391,0.3284579481393233,0.839113507292199,0.06380850614279594,0.11045149701516177,0.09845149701516177,1
2020-01-31,TNK,shipping,0.0962890189752367,0.3230146352724239,0.31606333494564104,0.8340364151365954,0.013928567622047847,0.10588571438742256,0.09388571438742256,1
2020-02-03,TNK,shipping,0.33652912032504323,0.34491110610967357,0.3447331407410112,0.9211826260258413,0.06125141725591879,0.09233354712713604,0.08033354712713604,1
2020-02-04,TNK,shipping,0.31114081084484124,0.3747221599534891,0.34784000556316474,0.98,0.06112001806763824,0.0972198029725766,0.0852198029725766,1
2020-02-05,TNK,shipping,0.3082225616862314,0.38896742707818777,0.35340392465349857,0.98,0.07049315921954742,0.10801217738164892,0.09601217738164892,1
2020-02-06,TNK,shipping,0.2875774020360103,0.4190096883753906,0.367102431264818,0.98,0.06455176994504182,0.0892390312883149,0.0772390312883149,1
2020-02-07,TNK,shipping,0.2697584573935527,0.45143919302174,0.3611691649680352,0.98,0.07479851087454377,0.06454694395890148,0.052546943958901485,1
2020-02-10,TNK,shipping,0.2568108175555142,0.4643327512796571,0.3648672709846198,0.98,0.04759410072794108,0.07174999412335148,0.05974999412335148,1
2020-02-11,TNK,shipping,0.2570333709334951,0.4822681857267364,0.35376259163908,0.98,0.06178557109487477,0.048482328759101634,0.03648232875910164,1
2020-02-12,TNK,shipping,0.2451344522227011,0.4997663340870118,0.36526974018767744,0.98,0.0628408828643333,0.057858313511888415,0.04585831351188842,1
2020-02-13,TNK,shipping,0.24323925820797546,0.5057816849365139,0.38623732685580986,0.98,0.05958807146316743,0.0662400482373553,0.0542400482373553,1
2020-02-14,TNK,shipping,0.23855621767598187,0.5124467351492399,0.3931221747634419,0.98,0.07514921289326375,0.11531182028488507,0.10331182028488507,1
2020-02-17,TNK,shipping,0.2049515201641291,0.5004174828756474,0.39305190190145,0.98,0.07907148779390823,0.09235242193848991,0.08035242193848992,1
2020-02-18,TNK,shipping,0.2053096496168386,0.518674876606046,0.385337820207848,0.98,0.06970662792025163,0.10143974149670609,0.0894397414967061,1
2020-02-19,TNK,shipping,0.19158472781175023,0.5224990481853313,0.3804586687471414,0.98,0.04100446814571483,0.08763163047696865,0.07563163047696865,1
2020-02-20,TNK,shipping,0.19015764930408027,0.5204695263055074,0.3966359659993937,0.98,0.05980197759300222,0.08571149548280288,0.07371149548280288,1
2020-02-21,TNK,shipping,0.178664245296891,0.49128310665229924,0.4003219564770928,0.98,0.06852455379692658,0.05185614898780666,0.039856148987806664,1
2020-02-24,TNK,shipping,0.15375111687109322,0.4964680701157467,0.39631944904850286,0.98,0.06501125453130192,0.022822810441083696,0.010822810441083696,1
2020-02-25,TNK,shipping,0.15580526063133665,0.48681755645980135,0.4050303893944308,0.98,0.06026241278199891,0.013333839338895093,0.0013338393388950924,1
2020-02-26,TNK,shipping,0.15424982482116045,0.4638948486732365,0.3935095021216602,0.98,0.07823817780147878,-0.0819220247563659,-0.0939220247563659,0
2020-02-27,TNK,shipping,0.1716332056764085,0.4582577417026904,0.3921324189042574,0.98,0.04894970871742614,-0.039536115034803476,-0.05153611503480347,0
2020-02-28,TNK,shipping,0.16434073343526687,0.4545045382705653,0.39131429407877216,0.98,0.07714333373325859,-0.031922815981032526,-0.04392281598103252,0
2020-03-02,TNK,shipping,0.17196148233273495,0.4533805233828489,0.3781820591678349,0.98,0.055612461872830074,-0.053776915837253414,-0.06577691583725341,0
2020-03-03,TNK,shipping,0.18146532919099206,0.4824309955036564,0.36814144751458977,0.98,0.07310032677431891,-0.06141788874031562,-0.07341788874031561,0
2020-03-04,TNK,shipping,0.1446766562856451,0.4828764027567596,0.35823519102280815,0.98,0.079068885207947,-0.04897540329573924,-0.060975403295739236,0
2020-03-05,TNK,shipping,0.14542201412730082,0.47549728735254965,0.32874030667996484,0.98,0.07222887769438487,-0.06375600633575929,-0.07575600633575928,0
2020-03-06,TNK,shipping,0.14703916349884696,0.45155606876925497,0.3184518970357567,0.98,0.08395540459222232,-0.07265772094708234,-0.08465772094708233,0
2020-03-09,TNK,shipping,0.15786037281391468,0.45637309682439436,0.3143695829600227,0.98,0.021041158662705017,-0.0910021364826964,-0.10300213648269639,0
2020-03-10,TNK,shipping,0.14550196497799817,0.46024180481988136,0.3039686697579091,0.9660470343533799,0.0330462495737253,-0.11930643546508013,-0.13130643546508014,0
2020-03-11,TNK,shipping,0.15381540365504698,0.4713640150819305,0.3124369591530203,0.98,0.0438231013988296,-0.10743902979877118,-0.11943902979877118,0
2020-03-12,TNK,shipping,0.13366081646424338,0.48949213447710394,0.3140955040151512,0.98,0.06385003601373683,-0.08768412760369326,-0.09968412760369326,0
2020-03-13,TNK,shipping,0.14382459880686146,0.495443513680566,0.3121811625955552,0.9542951857483885,0.06530463514454124,-0.059589385279046336,-0.07158938527904633,0
2020-03-16,TNK,shipping,0.14087278238176767,0.48851962073641225,0.3176545543857772,0.9714764398941215,0.06900420185248621,-0.03908396072336451,-0.051083960723364505,0
2020-03-17,TNK,shipping,0.13096527912765535,0.4836910863789223,0.3083765963478925,0.98,0.08579683307660069,-0.04938484143613875,-0.061384841436138746,0
2020-03-18,TNK,shipping,0.11917489214023964,0.474813026284145,0.3234043688847233,0.98,0.05405214743663404,-0.049265974001864055,-0.06126597400186405,0
2020-03-19,TNK,shipping,0.12904401533391843,0.46695090883431145,0.34500538206823966,0.98,0.035086836559383064,-0.05209917632818828,-0.06409917632818828,0
2020-03-20,TNK,shipping,0.1514643542573341,0.4656288257623783,0.3257239203464434,0.98,0.04755510567527883,-0.0372711368587193,-0.0492711368587193,0
2020-03-23,TNK,shipping,0.15000233388512807,0.4670006625798873,0.2908180557908392,0.98,0.06698019615619777,-0.00756830074160042,-0.01956830074160042,0
2020-03-24,TNK,shipping,0.1444760866535137,0.468951489951826,0.2735517297236551,0.9669757899677027,0.07162502339794503,0.024885827855088305,0.012885827855088305,1
2020-03-25,TNK,shipping,0.13495414907907324,0.47855822976037654,0.2734487756777854,0.9584860536224249,0.042459989660094524,-0.02407894562999302,-0.03607894562999302,0
2020-03-26,TNK,shipping,0.135150042041333,0.46079966842458076,0.2743026163128254,0.9460598705208889,0.06287609281930566,-0.05643244595777219,-0.06843244595777219,0
2020-03-27,TNK,shipping,0.14432779406353918,0.4608841262461187,0.2724644600250965,0.9436035677167649,0.05250649173526366,-0.03516847543240886,-0.04716847543240886,0
2020-03-30,TNK,shipping,0.13727797974640008,0.43896223577934984,0.28797928538617357,0.9396000380087519,0.057039619375487904,-0.03167479432811038,-0.043674794328110375,0
2020-03-31,TNK,shipping,0.13809464687484657,0.4373999571047401,0.2846104670273337,0.9342738078032152,0.04088097173966394,-0.002695891144747886,-0.014695891144747886,0
2020-04-01,TNK,shipping,0.1245114616663975,0.4207497983775071,0.3648472986070345,0.972533815841039,0.03562773587498072,0.0005142950603846952,-0.011485704939615305,0
2020-04-02,TNK,shipping,0.12975252381753258,0.41755783000828733,0.3378432578620351,0.98,0.03778398205841352,-0.03427256325473149,-0.04627256325473149,0
2020-04-03,TNK,shipping,0.14132995644272975,0.4204495020500899,0.35912823722714016,0.98,0.06488797532955415,-0.09442906518914618,-0.10642906518914617,0
2020-04-06,TNK,shipping,0.13036744425969934,0.4183319897887686,0.34967379874726545,0.98,0.04549675133481297,-0.10504978920005514,-0.11704978920005514,0
